State,Gender,Year,Values
Sarawak,Male,2022,72.1
Selangor,Male,2022,73.3
Terengganu,Male,2022,69.0
W.P. Kuala Lumpur,Male,2022,71.8
W.P. Labuan,Male,2022,72.4
W.P. Putrajaya,Male,2022,71.9
Malaysia,Female,2022,75.8
Johor,Female,2022,75.4
Kedah,Female,2022,73.4
Kelantan,Female,2022,73.3
Melaka,Female,2022,74.8
Negeri Sembilan,Female,2022,74.9
Pahang,Female,2022,75.1
Perak,Female,2022,76.1
Perlis,Female,2022,75.3
Pulau Pinang,Female,2022,75.8
Sabah,Female,2022,75.2
Sarawak,Female,2022,76.9
Selangor,Female,2022,77.5
Terengganu,Female,2022,73.1
W.P. Kuala Lumpur,Female,2022,76.6
W.P. Labuan,Female,2022,76.8
W.P. Putrajaya,Female,2022,77.0
